12:03:06am,63.70,25.30,25.55,
12:08:06am,65.20,25.40,25.70,
12:13:09am,62.50,25.60,25.85,
12:18:06am,63.70,25.50,25.77,
12:23:06am,64.50,25.50,25.79,
12:28:06am,60.00,25.60,25.78,
12:33:06am,64.10,25.30,25.56,
12:38:06am,65.10,25.40,25.70,
12:43:06am,63.20,25.60,25.87,
12:48:07am,59.70,25.50,25.66,
12:53:06am,64.10,25.40,25.67,
12:58:06am,64.80,25.50,25.80,
01:03:06am,62.00,25.70,25.94,
01:08:07am,62.50,25.40,25.63,
01:13:06am,64.70,25.40,25.68,
01:18:06am,64.40,25.70,26.01,
01:23:06am,60.20,25.70,25.90,
01:28:07am,62.70,25.40,25.63,
01:33:06am,64.30,25.50,25.78,
01:38:06am,64.20,25.70,26.00,
01:43:06am,59.50,25.70,25.88,
01:48:06am,62.90,25.50,25.75,
01:53:06am,64.60,25.50,25.79,
01:58:06am,61.00,25.70,25.92,
02:03:06am,63.70,25.30,25.55,
02:08:06am,65.40,25.30,25.59,
02:13:06am,63.50,25.60,25.87,
02:18:06am,63.60,25.40,25.66,
02:23:06am,64.80,25.50,25.80,
02:28:06am,61.50,25.60,25.82,
02:33:06am,64.90,25.50,25.80,
02:38:06am,64.10,25.70,26.00,
02:43:06am,59.30,25.50,25.65,
02:48:06am,64.50,25.40,25.68,
02:53:06am,64.90,25.50,25.80,
02:58:06am,60.90,25.60,25.81,
03:03:06am,63.30,25.50,25.76,
03:08:06am,65.10,25.50,25.81,
03:13:06am,62.30,25.60,25.84,
03:18:06am,62.60,25.40,25.63,
03:23:06am,65.00,25.50,25.80,
03:28:06am,64.20,25.60,25.89,
03:33:06am,63.90,25.50,25.77,
03:38:06am,64.70,25.60,25.90,
03:43:06am,62.00,25.70,25.94,
03:48:06am,62.70,25.50,25.74,
03:53:06am,65.00,25.50,25.80,
03:58:06am,62.40,25.60,25.84,
04:03:06am,63.20,25.40,25.65,
04:08:06am,65.10,25.50,25.81,
04:13:06am,62.70,25.60,25.85,
04:18:06am,63.60,25.50,25.77,
04:23:06am,65.00,25.50,25.80,
04:28:06am,63.60,25.80,26.10,
04:33:06am,60.30,25.60,25.79,
04:38:06am,64.50,25.50,25.79,
04:43:06am,65.00,25.60,25.91,
04:48:06am,60.30,25.60,25.79,
04:53:06am,64.00,25.30,25.56,
04:58:06am,65.80,25.30,25.60,
05:03:06am,64.40,25.50,25.79,
05:08:06am,64.10,25.50,25.78,
05:13:06am,65.40,25.50,25.81,
05:18:06am,62.10,25.70,25.95,
05:23:06am,63.00,25.40,25.64,
05:28:06am,65.10,25.50,25.81,
05:33:06am,63.80,25.60,25.88,
05:38:06am,63.90,25.60,25.88,
